775.691	KEY	/
775.891	KEY	l
776.065	KEY	o
776.158	KEY	g
776.860	KEY	RETURN
910.183	Moved	799	449
910.199	Moved	799	449
910.217	Moved	799	449
910.233	Moved	799	449
910.266	Moved	799	449
910.452	Moved	799	449
910.467	Moved	799	449
910.484	Moved	799	449
910.500	Moved	799	449
910.517	Moved	799	449
910.534	Moved	799	449
910.550	Moved	799	449
910.568	Moved	799	449
910.584	Moved	799	449
910.600	Moved	799	449
910.617	Moved	799	449
910.634	Moved	799	449
910.868	Moved	799	449
910.901	Moved	799	449
910.922	Moved	799	449
910.935	Moved	799	449
910.951	Moved	799	449
910.968	Moved	799	449
911.001	Moved	799	449
911.023	Moved	799	449
911.035	Moved	799	449
911.071	Moved	799	449
911.135	Moved	799	449
911.286	Moved	799	449
911.302	Moved	799	449
911.321	Moved	799	449
911.336	Moved	799	449
911.352	Moved	799	449
911.621	Released	Left
912.203	KEY	a
912.523	Moved	1240	677
912.873	Moved	1239	677
912.940	Moved	1238	677
912.957	Moved	1238	678
912.991	Moved	1237	678
913.207	Moved	1236	678
913.258	Moved	1235	678
913.408	Moved	1234	679
913.491	Moved	1233	679
913.508	Moved	1233	681
913.542	Moved	1232	681
913.558	Moved	1230	682
913.592	Moved	1229	682
913.625	Moved	1228	683
913.642	Moved	1227	683
913.742	Moved	1226	683
913.759	Moved	1226	684
913.775	Moved	1225	684
913.826	Moved	1224	684
913.859	Moved	1223	684
913.876	Moved	1222	684
913.893	Moved	1221	684
913.909	Moved	1219	686
913.926	Moved	1217	686
913.943	Moved	1215	686
913.959	Moved	1214	686
913.993	Moved	1213	686
914.245	KEY	w
915.129	KEY	SPACE
915.248	Moved	1212	686
915.263	Moved	1211	686
915.296	Moved	1210	687
915.315	Moved	1209	687
915.530	Moved	1208	687
915.553	KEY	w
915.599	Moved	1208	688
915.798	Moved	1206	688
